Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
TENSOPRIL 10 MG CPR X 20;7795350023856;35780,2;0;35780,2
TENSOPRIL 10 MG CPR X 40;7795350023863;55578,3;0;55578,3
TENSOPRIL 20 MG CPR X 20;7795350023900;40375,8;0;40375,8
TENSOPRIL 20 MG CPR X 40;7795350023917;72524,24;0;72524,24
TENSOPRIL 5 MG CPR X 20;7795350023818;25261,31;0;25261,31
TENSOPRIL 5 MG CPR X 40;7795350023825;46344,35;0;46344,35
TENSOPRIL D CPR X 20;7795350023986;43689,93;0;43689,93
TERALMINA 5 MG CPR REC X 14;7791829001189;14003,61;0;14003,61
TERAZOSINA VANNIER 5 MG CPR X 30;7795372001443;34985,67;0;34985,67
TERBENOL DUO 1000 MG CPR X 30;7792175010344;56272,67;0;56272,67
TERBENOL DUO CPR X 30;7792175007283;33000,31;0;33000,31
TERBENOL DUO CPR X 60;7792175007306;62084,11;0;62084,11
TERBENOL UD SOB X 30;7792175009454;62976,12;0;62976,12
TERBI-DERM 250 MG CPR X 14;7798167580024;21276,97;0;21276,97
TERBI-DERM 250 MG CPR X 28;7798167580031;41197,68;0;41197,68
TERBI-DERM 250 MG CPR X 42;7798167580970;50466,93;0;50466,93
TERBINAFINA RICHET 250 MG CPR X 14;7795336291613;18156,69;0;18156,69
TERBINAFINA RICHET 250 MG CPR X 28;7795336291620;37642,69;0;37642,69
TEREKOL CPR X 14;7798051850103;21581,23;0;21581,23
TEREKOL CPR X 28;7798051850110;41803,31;0;41803,31
TEREKOL CPR X 42;7798051851902;52626,27;0;52626,27
TEREKOL CR X 30 GR;7798051852138;14063,88;0;14063,88
TEREKOL PULSO CPR X 14;7798051854026;48971,84;0;48971,84
TEREKOL PULSO CPR X 7;7798051854019;26612,97;0;26612,97
TERFIN CR X 15 GR;7796285251062;16790,93;0;16790,93
TERFIN SPRAY X 75 ML;7796285278731;22703,22;0;22703,22
TERGLIKO 20 MG CPR X 30;7797416015539;51303,94;0;51303,94
TERLOC 10 MG CPR X 30;7798129418013;34956,88;0;34956,88
TERLOC 10 MG CPR X 60;7798129418020;63909,97;0;63909,97
TERLOC 5 MG CPR X 30;7798129417993;18991,09;0;18991,09
TERLOC 5 MG CPR X 60;7798129418006;37208,74;0;37208,74
TERLOC DUO 2,5/10 MG CAP X 30;7795350024143;27187,59;0;27187,59
TERLOC DUO 5/20 MG CAP X 30;7795350024167;50759,14;0;50759,14
TERMI BAG BOLSA TB2 X1 (20X35);;704;1;1175,68
TERMI BAG BOLSA TB3 X1 (30X35);;758,2;1;1266,194
TERMOFREN 250 CPR MAST X 20;7795345124216;13450;0;13450
TERMOFREN GTS X 20 ML;7795345008288;8870;0;8870
TERMOFREN GTS X 20 ML PACK X 6;7795345012988;48086;0;48086
TERMOFREN SOL X 120 ML;7795345009674;11852;0;11852
TERMOKIDS 2% FRUTILLA/CEREZA SUSP X 90 ML;7792369000564;5499;0;5499
TERMOKIDS 4% FRUTILLA/CEREZA SUSP X90ML;7792369004425;7999;0;7999
TERMOMETRO CITIZEN DIGITAL (CTA301-C) X 1;4580193651389;5391,52;1;9003,8384
TERMOMETRO CLINICO EXATHERM CHATO X 1;7791914551834;4715,47;1;7874,8349
TERMOMETRO CLINICO SAN UP BIO THERM SIN MERCURIO SU-TER403 X 1;7798411390102;4201,17;1;7015,9539
TERMOMETRO DIGITAL AXILAR CORONET DT-11D X 1;7791914010072;3837,97;1;6409,4099
TERMOMETRO DIGITAL ETEMP DT11-A X 1;7798033100608;4141,1;1;6915,637
TERMOMETRO DIGITAL EXATHERM DT-K11B X 1;7791914009663;3837,97;1;6409,4099
TERMOMETRO DIGITAL FLEXIBLE MICROLIFE MT 1931 X 1;4719003019310;4141,1;1;6915,637
TERMOMETRO DIGITAL FRANKLIN X 1;7793780000041;6340,86;1;10589,2362
TERMOMETRO EXATHERM CONTACTO;7791914551827;4063,33;1;6785,7611
TERVALON 10 MG CPR X 30;7795347957836;31078,83;0;31078,83
TERVALON 5 MG CPR X 30;7795347957805;16370,57;0;16370,57
TESTOVIRON DEPOT 250 MG INY X 1;7795320007718;45536,49;0;45536,49
TESTRI CAP X 1;7796285283339;16241,06;0;16241,06
TESTRI CAP X 3;7796285283346;35121,49;0;35121,49
TESTRI SOL ORAL X 2 ML;7796285279776;12958,94;0;12958,94
TETRALGIN CPR X 100;7798129416255;57914,71;0;57914,71
TETRALGIN CPR X 20;7798129416231;12904,26;0;12904,26
TETRALGIN CPR X 50;7798129416248;30265,17;0;30265,17
