Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D;BLOKIUM FLEX AMP X 3;51125;6257681;7791909321909;CASASCO S.A.I.C., LAB.;21126,16;0;0;0;0;1000000625
D;BLOKIUM FLEX AMP X 6;51126;6257682;7791909321923;CASASCO S.A.I.C., LAB.;35851,72;0;0;0;0;1000000626
D;BLOKIUM FLEX CPR X 15;23529;4569721;7791909318442;CASASCO S.A.I.C., LAB.;17038,44;0;0;0;0;1000000627
D;BLOKIUM FLEX CPR X 30;23530;4569722;7791909318510;CASASCO S.A.I.C., LAB.;30612,71;0;0;0;0;1000000628
D;BLOKIUM GEL X 50 GR;24819;4562611;7791909320476;CASASCO S.A.I.C., LAB.;18995,32;0;0;0;0;1000000629
D;BLOKIUM GESIC CPR X 15;21240;2301521;7791909318060;CASASCO S.A.I.C., LAB.;14987,18;0;0;0;0;1000000630
D;BLOKIUM GESIC CPR X 30;21241;2301522;7791909318206;CASASCO S.A.I.C., LAB.;23672,05;0;0;0;0;1000000631
D;BLOKIUM GESIC FTE CPR X 15;57664;6625391;7791909318299;CASASCO S.A.I.C., LAB.;16833,64;0;0;0;0;1000000632
D;BLOKIUM GESIC FTE CPR X 30;57665;6625392;7791909318305;CASASCO S.A.I.C., LAB.;32204,01;0;0;0;0;1000000633
D;BLOKIUM P 75 MG CPR X 10;54364;6433421;7791909326508;CASASCO S.A.I.C., LAB.;11324,09;0;0;0;0;1000000634
D;BLOKIUM P 75 MG CPR X 100;54366;9954366;7791909326591;CASASCO S.A.I.C., LAB.;49927,60;0;0;0;0;1000000635
D;BLOKIUM P 75 MG CPR X 30;54365;6433423;7791909326546;CASASCO S.A.I.C., LAB.;27634,88;0;0;0;0;1000000636
D;BLOKIUM PROTECT CAP X 10;52115;6212001;7791909325006;CASASCO S.A.I.C., LAB.;18484,48;0;0;0;0;1000000637
D;BLOKIUM PROTECT CAP X 30;50468;6212002;7791909325013;CASASCO S.A.I.C., LAB.;51910,92;0;0;0;0;1000000638
D;BLOKIUM SPRAY AER X 125 ML;47590;9947590;7791909321701;CASASCO S.A.I.C., LAB.;31922,23;0;0;0;0;1000000639
D;BLUE VIT B12 CPR MAST X 20;57629;9957629;7795371459559;TRB PHARMA S.A.;7974,84;0;0;0;0;1000000646
D;BLUEKING CPR MAST X 30;46508;9946508;7795356000691;GRAMON MILLET S.A.;33668,75;1;0;0;0;1000000647
D;BLUEKING CPR MAST X 300;61824;9961824;7795356002725;GRAMON MILLET S.A.;20253,92;1;0;0;0;1000023011
D;BLUEKING CPR MAST X 60;53294;9953294;7795356001957;GRAMON MILLET S.A.;58922,80;1;0;0;0;1000000648
D;BODY AND HAND EMUL X 150 ML;30869;9930869;7795213001694;ALLANMAR INTERNATIONAL CO;4757,87;1;0;0;0;1000000660
D;BODY CARE ALMOH P/FIEBRE(2013)ENV X 1;;;7798082443237;BODY CARE (MULTIPRENE S.A;5569,03;1;0;0;0;1000000661
D;BODY CARE ALMOH TERAPI FR/CA CERVICAL(2040);;;7798082446498;BODY CARE (MULTIPRENE S.A;18165,69;1;0;0;0;1000000662
D;BODY CARE BARBIJO SOCIAL NEOP(BC 2080)T1;;;7798082449833;BODY CARE (MULTIPRENE S.A;2885,26;1;0;0;0;1000000663
D;BODY CARE BARBIJO SOCIAL NEOP(BC 2080)T3;;;7798082449840;BODY CARE (MULTIPRENE S.A;2885,26;1;0;0;0;1000000664
D;BODY CARE BARBIJO SOFT T/CAP PED(BC 2981)T1;;;7798082449901;BODY CARE (MULTIPRENE S.A;2422,98;1;0;0;0;1000000665
D;BODY CARE BARBIJO SOFT T/CAP PED(BC 2981)T3;;;7798082449918;BODY CARE (MULTIPRENE S.A;2422,98;1;0;0;0;1000000666
D;BODY CARE BARBIJO SOFT T/CAPA(BC 2081)T1;;;7798082449888;BODY CARE (MULTIPRENE S.A;2682,00;1;0;0;0;1000000667
D;BODY CARE BARBIJO SOFT T/CAPA(BC 2081)T3;;;7798082449895;BODY CARE (MULTIPRENE S.A;2682,00;1;0;0;0;1000000668
D;BODY CARE CABESTRILLO C/FAJA INM HO(1061)T3;;;7798082440069;BODY CARE (MULTIPRENE S.A;24972,19;1;0;0;0;1000000669
D;BODY CARE CABESTRILLO ECONOMICO(1063E)T1;;;7798082449390;BODY CARE (MULTIPRENE S.A;7106,44;1;0;0;0;1000000670
D;BODY CARE CABESTRILLO UNIVERSAL(1062)T2;;;7798082440076;BODY CARE (MULTIPRENE S.A;11697,76;1;0;0;0;1000000671
